cityname,state,bedrooms,local_median_price,local_mean_price,local_price_std,comparison_group_size
Aberdeen,MD,1.0,1455.0,1455.0,0.0,1
Aberdeen,MD,2.0,1025.0,1025.0,0.0,1
Abilene,TX,1.0,905.0,811.0,152.04440140958823,5
Abilene,TX,3.0,635.0,635.0,0.0,1
Abingdon,MD,2.0,1120.0,1120.0,0.0,1
Abington,MA,2.0,1988.0,1988.0,0.0,1
Absecon,NJ,2.0,1285.0,1276.6666666666667,14.433756729740677,3
Acworth,GA,4.0,1399.0,1399.0,0.0,1
Addison,IL,1.0,1225.0,1225.0,0.0,1
Addison,TX,3.0,2525.0,2525.0,0.0,1
Adelphi,MD,1.0,1130.0,1130.0,0.0,1
Agoura Hills,CA,2.0,2425.0,2425.0,0.0,1
Aiea,HI,3.0,3295.0,3295.0,0.0,1
Akron,OH,1.0,645.0,645.0,0.0,1
Akron,OH,2.0,689.0,689.0,0.0,1
Alameda,CA,2.0,2595.0,2595.0,0.0,1
Albany,NY,1.0,948.5,948.5,2.1213203435596424,2
Albany,NY,2.0,875.0,875.0,0.0,1
Albuquerque,NM,1.0,750.0,894.875,400.94724893503314,8
Albuquerque,NM,2.0,1150.0,1150.0,91.28709291752767,4
Aledo,TX,3.0,2500.0,2500.0,0.0,1
Alexandria,LA,2.0,600.0,600.0,0.0,1
Alexandria,VA,1.0,1410.0,1425.0,232.0290930034421,5
Alexandria,VA,2.0,1413.0,1561.8333333333333,358.327457316163,6
Alexandria,VA,3.0,3200.0,3200.0,424.26406871192853,2
Alhambra,CA,3.0,2450.0,2450.0,0.0,1
Aliquippa,PA,2.0,1400.0,1400.0,0.0,1
Aliquippa,PA,3.0,1727.0,1675.6666666666667,352.81203683170065,3
Allendale,MI,5.0,1000.0,1000.0,0.0,1
Allston,MA,2.0,2626.0,2626.0,0.0,1
Allston,MA,4.0,3175.0,3175.0,0.0,1
Allston,MA,5.0,4500.0,4500.0,0.0,1
Aloha,OR,1.0,1150.0,1150.0,0.0,1
Aloha,OR,2.0,1325.0,1325.0,0.0,1
Alpharetta,GA,1.0,1253.5,1261.6666666666667,199.72147272305665,6
Alpharetta,GA,2.0,1518.5,1631.5833333333333,379.2908354795669,12
Alpharetta,GA,3.0,1713.5,1740.3333333333333,199.4007689721047,6
Alpine,CA,1.0,1350.0,1350.0,0.0,1
Altamonte Springs,FL,1.0,1009.0,1009.0,0.0,1
Altamonte Springs,FL,2.0,820.0,820.0,0.0,1
Altoona,IA,1.0,899.0,899.0,0.0,1
Altoona,IA,2.0,780.0,780.0,28.284271247461902,2
Altoona,IA,3.0,1450.0,1406.6666666666667,411.71389742554635,3
Alvin,TX,1.0,765.0,765.0,0.0,1
Amarillo,TX,1.0,585.0,637.0,130.0102560056962,4
Amarillo,TX,2.0,637.5,637.5,17.67766952966369,2
Amarillo,TX,3.0,1500.0,1583.3333333333333,236.29078131263046,3
Amelia,OH,2.0,890.0,890.0,0.0,1
American Canyon,CA,3.0,2400.0,2400.0,0.0,1
American Fork,UT,3.0,1599.0,1599.0,0.0,1
Ames,IA,1.0,790.0,760.2631578947369,100.7123748907767,19
Ames,IA,2.0,880.0,889.2424242424242,197.14414623300226,33
Ames,IA,3.0,1000.0,1062.2222222222222,283.59676335072396,18
Ames,IA,4.0,1500.0,1878.3333333333333,752.5678264006065,3
Amherst,NY,3.0,2025.0,2025.0,0.0,1
Amsterdam,NY,1.0,675.0,675.0,0.0,1
Anaheim,CA,1.0,1517.5,1540.0714285714287,236.46937166631903,14
Anaheim,CA,2.0,1927.5,1927.5,125.3328900701381,4
Anchorage,AK,0.0,815.0,815.0,0.0,1
Anchorage,AK,1.0,882.5,895.15,126.56567880998219,20
Anchorage,AK,2.0,975.0,1006.4,234.69518225014454,15
Anchorage,AK,3.0,1360.0,1360.0,0.0,1
Anderson,IN,1.0,630.0,645.3333333333334,48.83987441971298,3
Anderson,SC,1.0,811.5,811.5,263.75082938258225,2
Andover,MA,1.0,1654.5,1654.5,720.541810029092,2
Andover,MA,2.0,2690.0,2690.0,0.0,1
Angleton,TX,3.0,1150.0,1150.0,0.0,1
Ankeny,IA,3.0,1367.0,1367.0,0.0,1
