title,description,rent,deposit,label
Cheap Apartment Berlin,"Currently abroad. Deposit first. Urgent transfer required.",350,1500,1
Luxury Flat,"No viewing possible. WhatsApp only.",400,1800,1
Cheap Studio,"Transfer money before viewing.",300,2000,1
Berlin Apartment,"Immediate payment required.",450,1500,1
Student Room,"Landlord abroad. Send deposit first.",350,1700,1
WG Apartment,"Urgent booking needed. No contract.",400,1600,1
Berlinovo Student Room,"Official student accommodation. Viewing available.",650,650,0
University Apartment,"Registered landlord with contract.",700,700,0
Student Housing Berlin,"Physical viewing available before payment.",600,600,0
Safe Apartment,"Verified listing with official documents.",800,800,0
Campus Housing,"Secure payment after agreement.",750,750,0
WG Gesucht Apartment,"Meeting possible before deposit.",680,680,0
