title,description,rent,deposit,label
Cheap Apartment Berlin Scam 1,Currently abroad. Deposit first. Urgent transfer required.,350,1800,1
Luxury Flat Scam 1,No viewing possible. WhatsApp only.,400,1800,1
Cheap Studio Scam 1,Transfer money before viewing.,300,2000,1
Berlin Apartment Scam 1,Immediate payment required.,450,1500,1
Student Room Scam 1,Landlord abroad. Send deposit first.,350,1700,1
WG Apartment Scam 1,Urgent booking needed. No contract.,400,1600,1
Luxury Loft Scam 1,Western Union payment only.,500,2500,1
City Center Flat Scam 1,Keys mailed after payment.,450,1800,1
Cheap Room Scam 1,No Anmeldung. Deposit today.,320,1500,1
Modern Apartment Scam 1,Owner overseas. Crypto payment accepted.,420,2200,1
Berlinovo Student Room 1,Official student accommodation. Viewing available.,650,650,0
University Apartment 1,Registered landlord with contract.,700,700,0
Student Housing Berlin 1,Physical viewing available before payment.,600,600,0
Safe Apartment 1,Verified listing with official documents.,800,800,0
Campus Housing 1,Secure payment after agreement.,750,750,0
WG Gesucht Apartment 1,Meeting possible before deposit.,680,680,0
Studio Near U-Bahn 1,Anmeldung available. Standard contract.,720,720,0
Family Apartment 1,Verified owner. In-person viewing.,950,1900,0
Private Room 1,Deposit after signing contract.,550,550,0
Apartment in Mitte 1,Professional agency listing.,980,1960,0
Cheap Apartment Berlin Scam 2,Currently abroad. Deposit first. Urgent transfer required.,345,1820,1
Luxury Flat Scam 2,No viewing possible. WhatsApp only.,395,1820,1
Cheap Studio Scam 2,Transfer money before viewing.,295,2020,1
Berlin Apartment Scam 2,Immediate payment required.,445,1520,1
Student Room Scam 2,Landlord abroad. Send deposit first.,345,1720,1
WG Apartment Scam 2,Urgent booking needed. No contract.,395,1620,1
Luxury Loft Scam 2,Western Union payment only.,495,2520,1
City Center Flat Scam 2,Keys mailed after payment.,445,1820,1
Cheap Room Scam 2,No Anmeldung. Deposit today.,315,1520,1
Modern Apartment Scam 2,Owner overseas. Crypto payment accepted.,415,2220,1
Berlinovo Student Room 2,Official student accommodation. Viewing available.,660,660,0
University Apartment 2,Registered landlord with contract.,710,710,0
Student Housing Berlin 2,Physical viewing available before payment.,610,610,0
Safe Apartment 2,Verified listing with official documents.,810,810,0
Campus Housing 2,Secure payment after agreement.,760,760,0
WG Gesucht Apartment 2,Meeting possible before deposit.,690,690,0
Studio Near U-Bahn 2,Anmeldung available. Standard contract.,730,730,0
Family Apartment 2,Verified owner. In-person viewing.,960,1910,0
Private Room 2,Deposit after signing contract.,560,560,0
Apartment in Mitte 2,Professional agency listing.,990,1970,0
Cheap Apartment Berlin Scam 3,Currently abroad. Deposit first. Urgent transfer required.,340,1840,1
Luxury Flat Scam 3,No viewing possible. WhatsApp only.,390,1840,1
Cheap Studio Scam 3,Transfer money before viewing.,290,2040,1
Berlin Apartment Scam 3,Immediate payment required.,440,1540,1
Student Room Scam 3,Landlord abroad. Send deposit first.,340,1740,1
WG Apartment Scam 3,Urgent booking needed. No contract.,390,1640,1
Luxury Loft Scam 3,Western Union payment only.,490,2540,1
City Center Flat Scam 3,Keys mailed after payment.,440,1840,1
Cheap Room Scam 3,No Anmeldung. Deposit today.,310,1540,1
Modern Apartment Scam 3,Owner overseas. Crypto payment accepted.,410,2240,1
Berlinovo Student Room 3,Official student accommodation. Viewing available.,670,670,0
University Apartment 3,Registered landlord with contract.,720,720,0
Student Housing Berlin 3,Physical viewing available before payment.,620,620,0
Safe Apartment 3,Verified listing with official documents.,820,820,0
Campus Housing 3,Secure payment after agreement.,770,770,0
WG Gesucht Apartment 3,Meeting possible before deposit.,700,700,0
Studio Near U-Bahn 3,Anmeldung available. Standard contract.,740,740,0
Family Apartment 3,Verified owner. In-person viewing.,970,1920,0
Private Room 3,Deposit after signing contract.,570,570,0
Apartment in Mitte 3,Professional agency listing.,1000,1980,0
Cheap Apartment Berlin Scam 4,Currently abroad. Deposit first. Urgent transfer required.,335,1860,1
Luxury Flat Scam 4,No viewing possible. WhatsApp only.,385,1860,1
Cheap Studio Scam 4,Transfer money before viewing.,285,2060,1
Berlin Apartment Scam 4,Immediate payment required.,435,1560,1
Student Room Scam 4,Landlord abroad. Send deposit first.,335,1760,1
WG Apartment Scam 4,Urgent booking needed. No contract.,385,1660,1
Luxury Loft Scam 4,Western Union payment only.,485,2560,1
City Center Flat Scam 4,Keys mailed after payment.,435,1860,1
Cheap Room Scam 4,No Anmeldung. Deposit today.,305,1560,1
Modern Apartment Scam 4,Owner overseas. Crypto payment accepted.,405,2260,1
Berlinovo Student Room 4,Official student accommodation. Viewing available.,680,680,0
University Apartment 4,Registered landlord with contract.,730,730,0
Student Housing Berlin 4,Physical viewing available before payment.,630,630,0
Safe Apartment 4,Verified listing with official documents.,830,830,0
Campus Housing 4,Secure payment after agreement.,780,780,0
WG Gesucht Apartment 4,Meeting possible before deposit.,710,710,0
Studio Near U-Bahn 4,Anmeldung available. Standard contract.,750,750,0
Family Apartment 4,Verified owner. In-person viewing.,980,1930,0
Private Room 4,Deposit after signing contract.,580,580,0
Apartment in Mitte 4,Professional agency listing.,1010,1990,0
Cheap Apartment Berlin Scam 5,Currently abroad. Deposit first. Urgent transfer required.,330,1880,1
Luxury Flat Scam 5,No viewing possible. WhatsApp only.,380,1880,1
Cheap Studio Scam 5,Transfer money before viewing.,280,2080,1
